CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\WINDOWS\system32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider , 20220823123632.896948+540 , C:\WINDOWS\system32\BackgroundTaskHost.exe ,612 , 22136 , ('AzureAD', 0, 'KatayamaMasa') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20220823124810.731925+540 , C:\Windows\System32\RuntimeBroker.exe ,612 , 3336 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823124855.098564+540 , None ,612 , 13428 , (None, 2, None) , N/A
None , 20220823124927.765013+540 , None ,4952 , 25104 , (None, 2, None) , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=190 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6300 /prefetch:1 , 20220823124947.193914+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 24204 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823125058.048803+540 , None ,4952 , 14632 , (None, 2, None) , N/A
None , 20220823125128.498031+540 , None ,4952 , 3348 , (None, 2, None) , N/A
None , 20220823125141.933262+540 , None ,612 , 15784 , (None, 2, None) , N/A
taskhostw.exe Install $(Arg0) , 20220823125142.027379+540 , C:\WINDOWS\system32\taskhostw.exe ,1840 , 19656 , ('AzureAD', 0, 'KatayamaMasa') , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=191 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6884 /prefetch:1 , 20220823125142.193961+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 21652 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823125142.039090+540 , None ,916 , 21800 , (None, 2, None) , N/A
None , 20220823125142.134726+540 , None ,612 , 22612 , (None, 2, None) , N/A
None , 20220823125142.072114+540 , None ,916 , 22884 , (None, 2, None) , N/A
None , 20220823125142.094850+540 , None ,916 , 24340 , (None, 2, None) , N/A
None , 20220823125153.092113+540 , None ,4952 , 12008 , (None, 2, None) , N/A
"C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1660,8537330810189931557,2004841535186600165,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=ja --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path="C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\resources\app.asar" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=192 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6424 /prefetch:1 , 20220823125240.695376+540 , C:\Users\KatayamaMasa\AppData\Local\Microsoft\Teams\current\Teams.exe ,16732 , 23092 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823125304.573314+540 , None ,916 , 16428 , (None, 2, None) , N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20220823125304.494940+540 , C:\WINDOWS\system32\DllHost.exe ,612 , 23632 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823125305.385458+540 , None ,916 , 17852 , (None, 2, None) , N/A
None , 20220823125305.556799+540 , None ,12084 , 24488 , (None, 2, None) , N/A
None , 20220823125305.495280+540 , None ,12084 , 6980 , (None, 2, None) , N/A
None , 20220823125335.722433+540 , None ,4952 , 10904 , (None, 2, None) , N/A
C:\Windows\System32\smartscreen.exe -Embedding , 20220823125339.405369+540 , C:\Windows\System32\smartscreen.exe ,612 , 20136 , ('AzureAD', 0, 'KatayamaMasa') , N/A
None , 20220823125339.240445+540 , None ,612 , 2052 , (None, 2, None) , N/A
None , 20220823125345.091579+540 , None ,4952 , 18484 , (None, 2, None) , N/A
